| indexrelname                            | idx_scan | idx_tup_read | idx_tup_fetch |
| --------------------------------------- | -------- | ------------ | ------------- |
| idx_user_profiles_user_id               | 320      | 307          | 307           |
| idx_quota_usage_service_account_date    | 173      | 63           | 63            |
| idx_url_submissions_job_id              | 126      | 1776         | 0             |
| idx_user_settings_user_id               | 92       | 91           | 91            |
| idx_service_accounts_active             | 71       | 205          | 0             |
| idx_jobs_user_id                        | 68       | 66           | 66            |
| idx_url_submissions_status              | 17       | 136          | 0             |
| idx_prefixes_lower_name                 | 3        | 0            | 0             |
| idx_name_bucket_level_unique            | 1        | 0            | 0             |
| idx_multipart_uploads_list              | 1        | 0            | 0             |
| idx_objects_bucket_id_name              | 1        | 0            | 0             |
| idx_indexing_jobs_status_next_run       | 0        | 0            | 0             |
| idx_indexing_jobs_locked                | 0        | 0            | 0             |
| idx_service_accounts_token_expiry       | 0        | 0            | 0             |
| idx_indexing_jobs_user_id_status        | 0        | 0            | 0             |
| idx_indexing_jobs_user_name_search      | 0        | 0            | 0             |
| idx_indexing_jobs_user_schedule         | 0        | 0            | 0             |
| idx_url_submissions_job_status          | 0        | 0            | 0             |
| idx_service_accounts_user_active        | 0        | 0            | 0             |
| idx_job_logs_job_created                | 0        | 0            | 0             |
| idx_notifications_user_read_created     | 0        | 0            | 0             |
| idx_email_queue_status_created          | 0        | 0            | 0             |
| idx_audit_logs_user_event_created       | 0        | 0            | 0             |
| idx_auth_code                           | 0        | 0            | 0             |
| idx_rate_limits_identifier_endpoint     | 0        | 0            | 0             |
| idx_user_id_auth_method                 | 0        | 0            | 0             |
| idx_objects_lower_name                  | 0        | 0            | 0             |
| idx_iceberg_namespaces_bucket_id        | 0        | 0            | 0             |
| idx_iceberg_tables_namespace_id         | 0        | 0            | 0             |
| idx_service_accounts_user_id            | 0        | 0            | 0             |
| idx_jobs_status                         | 0        | 0            | 0             |
| idx_jobs_next_run                       | 0        | 0            | 0             |
| idx_dashboard_notifications_user_unread | 0        | 0            | 0             |
| idx_email_queue_status                  | 0        | 0            | 0             |
| idx_daily_stats_user_date               | 0        | 0            | 0             |
